"","date","probe_name","probe_type","value"
"357","07/01/2021 07:20:00","B1_T1","Temp",16.1
"358","07/01/2021 07:20:00","B1_pH1","pH",8.11
"359","07/01/2021 07:20:00","B2T1","Temp",18
"360","07/01/2021 07:20:00","B2pH1","pH",7.97
"361","07/01/2021 07:30:00","B2_T2","Temp",18.6
"362","07/01/2021 07:30:00","B2_pH2","pH",4.55
"363","07/01/2021 07:30:00","B1_pH2","pH",8.12
"364","07/01/2021 07:30:00","B1_T2","Temp",16
"365","07/01/2021 07:30:00","B1_T1","Temp",16
"366","07/01/2021 07:30:00","B1_pH1","pH",8.11
"367","07/01/2021 07:30:00","B2T1","Temp",18
"368","07/01/2021 07:30:00","B2pH1","pH",7.97
"369","07/01/2021 07:40:00","B2_T2","Temp",19.2
"370","07/01/2021 07:40:00","B2_pH2","pH",4.53
"371","07/01/2021 07:40:00","B1_pH2","pH",8.12
"372","07/01/2021 07:40:00","B1_T2","Temp",16.1
"373","07/01/2021 07:40:00","B1_T1","Temp",16.1
"374","07/01/2021 07:40:00","B1_pH1","pH",8.12
"375","07/01/2021 07:40:00","B2T1","Temp",18
"376","07/01/2021 07:40:00","B2pH1","pH",7.97
"377","07/01/2021 07:50:00","B2_T2","Temp",19.6
"378","07/01/2021 07:50:00","B2_pH2","pH",4.53
"379","07/01/2021 07:50:00","B1_pH2","pH",8.12
"380","07/01/2021 07:50:00","B1_T2","Temp",16.1
"381","07/01/2021 07:50:00","B1_T1","Temp",16.1
"382","07/01/2021 07:50:00","B1_pH1","pH",8.12
"383","07/01/2021 07:50:00","B2T1","Temp",18.1
"384","07/01/2021 07:50:00","B2pH1","pH",7.97
"385","07/01/2021 08:00:00","B2_T2","Temp",19.5
"386","07/01/2021 08:00:00","B2_pH2","pH",4.53
"387","07/01/2021 08:00:00","B1_pH2","pH",8.12
"388","07/01/2021 08:00:00","B1_T2","Temp",16.1
"389","07/01/2021 08:00:00","B1_T1","Temp",16.1
